train_label,train_precision,train_recall,train_f1-score,train_support,valid_precision,valid_recall,valid_f1-score,valid_support,test_precision,test_recall,test_f1-score,test_support
0.0,0.4273381294964029,0.33521444695259595,0.37571157495256163,886,0.5454545454545454,0.3559322033898305,0.4307692307692308,118,0.43023255813953487,0.3333333333333333,0.37563451776649737,111
1.0,0.0603448275862069,0.025925925925925925,0.03626943005181347,270,0.15384615384615385,0.06666666666666667,0.09302325581395349,30,0.0,0.0,0.0,52
2.0,0.025380710659898477,0.07692307692307693,0.03816793893129771,130,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.03406593406593406,0.09967845659163987,0.05077805077805078,311,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.7036541889483066,0.4800851322590453,0.5707572745346104,3289,0.82,0.4680365296803653,0.5959302325581395,438,0.8303249097472925,0.4713114754098361,0.6013071895424836,488
5.0,0.03,0.07643312101910828,0.04308797127468582,157,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.05058365758754864,0.11304347826086956,0.06989247311827958,230,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.19019534976347105,0.17247194827603743,0.16923781623447137,5273,0.21704295704295704,0.1272336285338375,0.15996038844876054,586,0.1800796382695468,0.11494925839188135,0.13956310104414013,651
weighted avg,0.5195280775191538,0.37208420254124785,0.42925995896580044,5273,0.7306126637867252,0.4249146757679181,0.5369264654703976,586,0.6957824422583212,0.41013824884792627,0.514797757248561,651
0.0,0.14820143884892087,0.329073482428115,0.20436507936507936,313,0.0,0.0,0.0,3,0.011627906976744186,0.5,0.022727272727272724,2
1.0,0.0603448275862069,0.02491103202846975,0.03526448362720403,281,0.0,0.0,0.0,8,0.0,0.0,0.0,23
2.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.9077540106951871,0.44196137990887396,0.5944841675178754,4609,0.956,0.42908438061041293,0.5923172242874845,557,0.9566787003610109,0.4372937293729373,0.6002265005662514,606
5.0,0.0375,0.21739130434782608,0.06396588486140725,69,0.09090909090909091,0.2222222222222222,0.1290322580645161,18,0.10204081632653061,0.25,0.14492753623188406,20
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.16482861101861643,0.1447624569590407,0.1282970879102237,5273,0.14955844155844153,0.09304380040466216,0.1030499260502858,586,0.1529067748091837,0.1696133899104196,0.10969732993220116,651
weighted avg,0.8059491147744269,0.41001327517542197,0.5344712239495237,5273,0.9114818492088116,0.41467576791808874,0.5669680453469115,586,0.8937194540080748,0.4162826420890937,0.5632584709880807,651
0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1.0,0.008620689655172414,0.01282051282051282,0.010309278350515464,78,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.9714795008912656,0.4283749263116526,0.5945724805672985,5089,1.0,0.4280821917808219,0.5995203836930455,584,0.9963898916967509,0.42790697674418604,0.5986984815618221,645
5.0,0.065,0.25742574257425743,0.10379241516966069,101,0.0,0.0,0.0,2,0.02040816326530612,0.16666666666666666,0.03636363636363636,6
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.1493000272209197,0.09980302595806041,0.10123916772678208,5273,0.14285714285714285,0.0611545988258317,0.0856457690990065,586,0.14525686499457957,0.08493909191583611,0.09072315970363694,651
